listing_id,review_id,date,reviewer_name,comments,listing_name,host_id,host_name
6251,2267,5/10/2009,Anna,"About the place:
The pictures don't do the place justice.  Fred had a maid come through hours before we arrived, so the place was immaculate.  The condo itself looks very industrial, with exposed loft ceilings, smooth concrete flooring, and floor to ceiling high windows.  The decor is very minimalist/neo-mod, which I found very comforting (and easy to clean up after).  There was free WiFi, and I was able to stream my iTunes music onto his home stereo, which I had playing most of my stay.  At $60 a night, and with the going rate of motels in the city at $120+, staying at Fred's was a steal.

About Fred:
Upon meeting Fred, I immediately felt at home.  He is a very sincere, nice, intelligent fellow, with good humor to match.  This is my first time using AirBnB, and I had my hesitations, but Fred quickly washed those feelings away.  He made us feel very welcome in his beautiful home, and for that, we are very grateful.

About the stay:
I never had to call Fred about anything during our whole stay.  In other words, our stay in Austin, went smoothly.  Other than the construction that woke us up Friday (which he warned us about, and will probably be finished by the time he ""rents"" out his place again), our stay went undisturbed.  

Extra notes:
I highly recommend you stay at Frederick's place.  If I ever find myself in Austin again, he's the first person I'm going to hit up.",Beautiful 1200 SQFT East Side Loft!,13096,Frederick
5456,2287,5/11/2009,Chris,"Sylvia is great person and great host. She picked my girlfriend and me up at the airport, showed us around Austin, told us about good places to hang out, and even let us ride along with her to San Antonio for a day trip. She went above and beyond the call of duty to make our long weekend in Austin very enjoyable.",Walk to 6th St and Convention Ctr,8028,Sylvia
5456,2855,5/19/2009,Jane,She's a special woman and our stay was wonderful because of her.  She was our friend from the moment we met her.,Walk to 6th St and Convention Ctr,8028,Sylvia
5456,2991,5/23/2009,John,"We had a wonderful stay at Sylvia's.  We found her to be a congenial and helpful host, and appreciated the way she bent over backward to accommodate us.  The apartment was cozy and clean, and yes, you really can walk to 6th St!  We will be recommending Sylvia's to any friends that wander down to Austin.",Walk to 6th St and Convention Ctr,8028,Sylvia
6251,3051,5/24/2009,Sujan,"Very nice place, that is clean and stylish. Full kitchen with utensils and modern equipment. Easy-to-use, washer-dryer on site as well. 

Good neighborhood and close to downtown area. Close to local/Latino places to eat including an El Salvadoran place (El Zunzal) that was excellent. 

The construction was the only hassle since all windows had to be shut at all times (taking away the awesome view of downtown!). The construction was also the reason why the parking was a bit far, making carrying things (we had a cooler, etc) a hassle. 

Fred was very helpful. He left us good instructions on the place and the neighborhood. The wireless Internet was useful. The stereo was great. 

All in all, the place is a great deal and I would use it myself again and recommend to others as well. ",Beautiful 1200 SQFT East Side Loft!,13096,Frederick
5456,3415,6/1/2009,David,"Sylvia's studio is beautiful, and she was really lovely and helpful. It's a pretty location, and it is an easy walk to 6th street.",Walk to 6th St and Convention Ctr,8028,Sylvia
6251,3479,6/2/2009,Julie,"Wonderful place to stay.  Fred was so nice and accommodating.  There was some construction going on while we were staying there.  But the workers didn't start making noise until 10am.  I give this place 5 stars because I can see beyond the construction.  All of Fred's neighbors were such nice people and so were their dogs. Say hi to Franky, Waco, Luby and many other puppies while your there. Fred had everything we could have needed and more.  His sense of design with furniture and art is enjoying to be around.  And I loved the interior color choices on the walls too.  I would defiantly stay at Fred's place again if I had the chance.    ",Beautiful 1200 SQFT East Side Loft!,13096,Frederick
6251,4031,6/14/2009,Chris,"Fred's Place:
Very Nice, enjoyed it.  Close to everything, easy to access.  Would absolutely stay again.",Beautiful 1200 SQFT East Side Loft!,13096,Frederick
5456,4015,6/14/2009,Roger,Sylvia was a great host. The location worked well and was a quiet area. I walked to town and was no problem at all. Thanks a lot for a nice weekend. ,Walk to 6th St and Convention Ctr,8028,Sylvia
5456,4173,6/17/2009,Danielle,Great Place to stay. Thank you very much.,Walk to 6th St and Convention Ctr,8028,Sylvia
6251,4612,6/27/2009,Megan,"Fred was very accommodating and helpful! The location was very good for getting into town (close to bus stops and only $6 cab fare in or out of town) and the apartment was nice and comfortable. It was usually quiet at the apartment (except for the construction... but I wasn't there most of the time during the day).

Thanks, Fred, for everything! Stay cool.",Beautiful 1200 SQFT East Side Loft!,13096,Frederick
5456,4604,6/27/2009,Jennifer,"Cozy space, very convenient and Sylvia is a great host. Thanks!",Walk to 6th St and Convention Ctr,8028,Sylvia
6251,4778,6/29/2009,Jackie,"Artsy, tastefully decorated, abundance of space and a delightful and intelligent host - these totally speak of our Austin experience.  Angel and I enjoyed Austin and this is partly because of Frederick's Place.

I'd look up Fred if ever I am around Austin again.  Best regards, Fred!",Beautiful 1200 SQFT East Side Loft!,13096,Frederick
6251,5050,7/5/2009,Shawn,"This was my first trial of AirBnB and Fred made it an extremely positive one, with thorough/frequent and clear communication before I arrived and a spacious/spotless and stylin' loft. Both the air conditioning (welcome during a weekend heat spell) and wireless worked perfectly and I found the loft to be quiet and calm during the brief times I was there inbetween sightseeing. Thanks, Fred - you're an excellent host! ",Beautiful 1200 SQFT East Side Loft!,13096,Frederick
5456,5440,7/12/2009,Jeremy,"Sylvia was a wonderful host. She really made sure my friend and I felt totally comfortable and well taken care of.

The studio apartment is lovely. It's close enough to walk to the centre of town (10-15 minutes), but enough of a distance to be away from the noise and have some peace and quiet.

Everything is very clean, it has good wireless internet, and she makes sure you have everything you need for your stay.",Walk to 6th St and Convention Ctr,8028,Sylvia
5456,5780,7/19/2009,Keisha,"Great place! Can't say enough good things about this little treasure. Clean, cozy, an absolute perfect little place to relax and enjoy Austin! Sylvia is a wonderful host who had the place ready for a wonderful stay! Thanks a million!",Walk to 6th St and Convention Ctr,8028,Sylvia
6251,6208,7/27/2009,Katie,"We really loved Fred's loft! It was a wonderful retreat after a hot day in the city. I had some last minute changes in arrival times, and Fred was very accommodating. I would be happy to stay there again in the future. ",Beautiful 1200 SQFT East Side Loft!,13096,Frederick
5456,6232,7/27/2009,Brie,"Sylvia was very nice and accomedating. The place was just perfect. Close to everything in town, quiet, cozy, etc. I would def. recommend her place. We would love to go stay there again.",Walk to 6th St and Convention Ctr,8028,Sylvia
5456,6332,7/29/2009,Yann,"Pros: Great host, great place, great location.
Cons: When this secret's out, Sylvia's Place will be booked solid, year round.
Will definitely be back. Thank you Sylvia.",Walk to 6th St and Convention Ctr,8028,Sylvia
5456,6580,8/2/2009,Keshawn,"Great first experience with airbnb.  Close to downtown Austin, great host, very accommodating.",Walk to 6th St and Convention Ctr,8028,Sylvia
7679,7302,8/12/2009,Theresa,"I stayed at Joep and Courtney's Austin home in August and was thrilled with the spotless accommodations. The room was large and private with a comfortable bed and a good sized bathroom. The best feature was the deck which overlooked the back yard garden. The kitchen has a sunny alcove which was the perfect place to enjoy coffee in the morning and peek at the yards of neighboring homes.  
The location is amazing if you're interested in the local music scene, touring Austin's museums and finding unique places to eat out. it was a memorable experience thanks to the gracious hosts.",North Austin garden haven,17333,Joep And Courtney
5456,7772,8/19/2009,Luis,"Sylvia's place is great because it's quite, independent, charming and close to downtown and airport. As a person, Sylvia is more than a hostess. She is so friendly and if you are not get used to Austin, she is very helpful. Besides, she took us to Barton Springs for an amazing swimming night!!! Thanks a lot.",Walk to 6th St and Convention Ctr,8028,Sylvia
6251,7955,8/22/2009,Alan,Had a great experience staying in Fred's loft.  Everything was as advertised.  Great location for someone looking to spend time downtown.  I would highly recommend staying here during your trip to Austin.  ,Beautiful 1200 SQFT East Side Loft!,13096,Frederick
5456,8025,8/22/2009,Jessica,"Amazing experience! Sylvia was a great hostess, couldn't ask for a more accomodating and friendly hostess. I'm definitely going back and booking my room with Sylvia. She provided everything a hotel does plus I had the privacy a hotel cannot give. ",Walk to 6th St and Convention Ctr,8028,Sylvia
7679,9317,9/7/2009,Alicia,Our stay with Courtney and Joep was wonderful! They are very nice and all of our needs were met. They gave us some great advice on places to eat and see. From the first night it was like staying with friends. We loved the bright breakfast room that overlooks the backyard below. Overall very charming home and gracious hosts.  ,North Austin garden haven,17333,Joep And Courtney
5456,9441,9/8/2009,Paul,"Sylvia is such a fantastic host! She was willing to pick me up at the airport! She was always accessible if I needed anything, but also respected my privacy. The room was excellent, bathroom spotless, and the kitchen ample.

You're close to all the Austin nightlife, but not so close as to be a disturbance. I was never bothered with noise here. I will definitely stay here upon my return to Austin.",Walk to 6th St and Convention Ctr,8028,Sylvia
5456,10617,9/19/2009,Luna,"Sylvia did more than she had to, to make sure I was comfortable for my first trip to Austin. She picked me up from the airport, made sure I had enough water in the apartment, and even took me to the grocery store so I could stock up on what I needed. The place itself is large, good for three people, and a near-enough walk from the Austin Convention Center. Thanks for a great time in Austin!",Walk to 6th St and Convention Ctr,8028,Sylvia
6251,10787,9/20/2009,Richard,"Great stay, great location. Not much else i could ask for. Thanks Fred!",Beautiful 1200 SQFT East Side Loft!,13096,Frederick
5456,10815,9/20/2009,Sylvia,"Great location! Easy access to I35, and downtown.
Accomodations were very clean, quiet, and cozy. Sylvia is very friendly and a superb hostess! We will definitely be back!",Walk to 6th St and Convention Ctr,8028,Sylvia
5456,10967,9/21/2009,Sabrina,Nice amount of space and we appreciated the free internet access.,Walk to 6th St and Convention Ctr,8028,Sylvia
5456,12309,10/4/2009,Gabriela,"Sylvia was a great and helpful host.  My daughter and I stayed for the ACL weekend and the location was great for walking to the shuttle and not having to worry about the car.  There was plenty of space for two people and the internet access was a plus.  When it rained, she even gave us two ponchos so we wouldn't have to drive to walmart.  Very considerate!  ",Walk to 6th St and Convention Ctr,8028,Sylvia
6251,12617,10/6/2009,Ashtyn,Fred was a wonderful host and his loft was absolutely lovely. We will most definitely be coming back to Austin and hopefully staying here again. Thanks so much Fred!!,Beautiful 1200 SQFT East Side Loft!,13096,Frederick
5456,13137,10/11/2009,Carrie,"we had a great time, and enjoyed the space and (email hidden)d the heater :) thanks!",Walk to 6th St and Convention Ctr,8028,Sylvia
7679,14031,10/18/2009,Rita,"Courtney and Joep were delightful!  The accommodations were very clean, neat, comfortable and private. Communication was great.  We had a wonderful experience and felt like we'd made 2 new friends when we left. We enjoyed coffee in the morning in their cute, bright breakfast nook, and enjoyed looking out into the pretty back yard with the veggie and herb garden. Their home is in a cool, eclectic neighborhood. They were great about recommending different places to eat and see in Austin. We had the best time ever!!",North Austin garden haven,17333,Joep And Courtney
6251,14969,10/25/2009,Mike,"Fred was an awesome host, he was very accomodating, and even though we were stupid and got a little lost and ended up at the wrong lofts, he was more than happy to swing by and help show us to where we were supposed to be.  Also, our ride for the liveSTRONG challenge took a little longer than expected due to some mishaps, and Fred was more than accomodating with our delay in checking out.  The loft itself was immaculate, and like a poster said below, the pictures really do not do it justice.  East Austin has really come a long way from when I used to go to school at UT Austin.  I highly recommend Fred and his awesome loft.",Beautiful 1200 SQFT East Side Loft!,13096,Frederick
5456,15662,10/31/2009,Dennis,"Our anniverary in Austin was wonderful. The apartment is lovely with nice touches of home. Sylvia goes above and beyond to make you feel at home. Bringing baked goods and drinks for our stay (even loaned us her personal umbrella). We consider her place as our ""apt. in the city"". Thank you, Sylvia, for your hospitality and the beautiful anniversary flowers.",Walk to 6th St and Convention Ctr,8028,Sylvia
5456,16489,11/7/2009,Kevin,"Very accommodating, great space.",Walk to 6th St and Convention Ctr,8028,Sylvia
6251,16677,11/8/2009,Jonathan,The place was awesome & the location was perfect. It's a great place to stay!  :),Beautiful 1200 SQFT East Side Loft!,13096,Frederick
5456,18215,11/24/2009,Jane,"6th Street is a bit of a walk but location is central to lots of shopping, nightlife and eateries. Place is clean, private and offers an array of videos and dcs. Great coffee, coffee pot and Fiesta Ware in the kitchen.",Walk to 6th St and Convention Ctr,8028,Sylvia
6251,19248,12/5/2009,Tess,"LOVELY PLACE- very nice, very clean! GREAT host- returned an ER call asap when I forgot one of the codes- THANKS!",Beautiful 1200 SQFT East Side Loft!,13096,Frederick
6251,20172,12/13/2009,Rajiv,"Fred's place is amazing!  Great modern decor, art on the walls, great facilities (bathroom, washer/dryer, etc.) in a safe, gated complex.  The pictures do not do it justice.  Close to downtown and about seventeen times better than staying at a hotel.  =)  Fred was a very polite, knowledgeable and formal host.  I seriously recommend staying here!  Do not miss out on the opportunity.",Beautiful 1200 SQFT East Side Loft!,13096,Frederick
5456,20136,12/13/2009,Gerald,"Great cozy/modern space, nice location, free wifi, and accommodating hostess made this place perfect for our stay.",Walk to 6th St and Convention Ctr,8028,Sylvia
6413,20322,12/14/2009,Chris & Adriana,"Had a wonderful time at this awesome, spacious studio. It had a fully stocked kitchen, fluffy towels and an incredibly comfy bed. It was so clean and bright from all the natural light and windows.  My husband and I stayed her for a week and were blown away by the hospitality from Todd and his lovely wife. They left a bottle of red wine and fresh fruit on the counter along with a variety of tea's and a coffee press. When we asked them to adjust the temperature of the water heater ( it was cold that week), we received an email from Todd that it was adjusted in time for my next bath. We highly recommend this place to anyone traveling through. Great location. Great people. Fantastic value!",Gem of a Studio near Downtown,13879,Todd
5456,20640,12/17/2009,Hannah,Sylvia's place was lovely! Perfect for me and my friend who stayed just before christmas 2009. Sylvia is super lovely and extra helpful! Thanks Sylvia!,Walk to 6th St and Convention Ctr,8028,Sylvia
5456,21240,12/23/2009,Rochelle,"Sylvia was very kind and accommodating. The space itself was a very quaint home away from home. I work online so having the internet is essential. Sylvia's place work out great! Also, the location was good - not far from downtown Austin and there are a couple of great coffee shops in the neighborhood itself. ",Walk to 6th St and Convention Ctr,8028,Sylvia
6251,21546,12/28/2009,Lisa And Jeremy,"Frederick's place is a gem. It is spacious and comfortable, with gorgeous light and every amenity you could want. You are close to everything - especially hot new French restaurant Justine's (tip: go stop by and leave your name, then go back to the loft to chill for the 90-min wait for your table). Really a fantastic place to stay for anyone visiting Austin.",Beautiful 1200 SQFT East Side Loft!,13096,Frederick
7679,21966,12/31/2009,Tom,"Sarah, Cindy, and I had an excellent time.  They were very accommodating and made us feel welcome.  I wish that I had a reason to go back to Austin so that I could stay with them again.",North Austin garden haven,17333,Joep And Courtney
